date,FREIGHT_USD_DAY,FUEL_USD_PER_T,EUA_USD_PER_TCO2
2025-04-10,85000,747,59.31999969482422
2025-04-11,85000,747,61.98500061035156
2025-04-14,85000,747,63.52000045776367
2025-04-15,85000,747,63.11000061035156
2025-04-16,85000,747,63.67499923706055
2025-04-17,85000,747,62.7599983215332
2025-04-22,85000,747,61.27000045776367
2025-04-23,85000,747,63.66999816894531
2025-04-24,85000,747,63.2599983215332
2025-04-25,85000,747,63.27000045776367
2025-04-28,85000,747,62.19499969482422
2025-04-29,85000,747,62.0
2025-04-30,85000,747,63.56999969482422
2025-05-01,85000,747,63.939998626708984
2025-05-02,85000,747,65.71499633789062
2025-05-06,85000,747,65.79000091552734
2025-05-07,85000,747,67.87000274658203
2025-05-08,85000,747,67.66999816894531
2025-05-09,85000,747,67.16999816894531
2025-05-12,85000,747,69.51499938964844
2025-05-13,85000,747,69.40499877929688
2025-05-14,85000,747,68.88999938964844
2025-05-15,85000,747,70.04499816894531
2025-05-16,85000,747,67.93499755859375
2025-05-19,85000,747,67.38999938964844
2025-05-20,85000,747,70.13500213623047
2025-05-21,85000,747,69.5250015258789
2025-05-22,85000,747,68.9800033569336
2025-05-23,85000,747,68.52999877929688
2025-05-27,85000,747,67.94000244140625
2025-05-28,85000,747,68.80000305175781
2025-05-29,85000,747,67.80000305175781
2025-05-30,85000,747,67.54499816894531
2025-06-02,85000,747,67.93000030517578
2025-06-03,85000,747,69.25499725341797
2025-06-04,85000,747,69.26000213623047
2025-06-05,85000,747,69.69499969482422
2025-06-06,85000,747,70.33499908447266
2025-06-09,85000,747,70.875
2025-06-10,85000,747,69.82499694824219
2025-06-11,85000,747,71.0
2025-06-12,85000,747,71.9749984741211
2025-06-13,85000,747,72.62999725341797
2025-06-16,85000,747,72.07499694824219
2025-06-17,85000,747,71.2699966430664
2025-06-18,85000,747,71.38500213623047
2025-06-20,85000,747,69.84500122070312
2025-06-23,85000,747,70.1050033569336
2025-06-24,85000,747,70.45999908447266
2025-06-25,85000,747,68.17500305175781
2025-06-26,85000,747,67.71499633789062
2025-06-27,85000,747,68.08999633789062
2025-06-30,85000,747,66.28500366210938
2025-07-01,85000,747,67.76499938964844
2025-07-02,85000,747,68.67500305175781
2025-07-03,85000,747,68.91999816894531
2025-07-04,85000,747,68.58499908447266
2025-07-07,85000,747,68.125
2025-07-08,85000,747,67.17500305175781
2025-07-09,85000,747,67.6449966430664
2025-07-10,85000,747,68.12000274658203
2025-07-11,85000,747,67.57499694824219
2025-07-14,85000,747,67.31999969482422
2025-07-15,85000,747,68.4800033569336
2025-07-16,85000,747,68.22000122070312
2025-07-17,85000,747,67.52999877929688
2025-07-18,85000,747,67.09500122070312
2025-07-21,85000,747,66.99500274658203
2025-07-22,85000,747,66.49500274658203
2025-07-23,85000,747,66.55000305175781
2025-07-24,85000,747,67.88999938964844
2025-07-25,85000,747,68.50499725341797
2025-07-28,85000,747,67.76499938964844
2025-07-29,85000,747,69.94000244140625
2025-07-30,85000,747,69.68499755859375
2025-07-31,85000,747,70.01499938964844
2025-08-01,85000,747,68.12999725341797
2025-08-04,85000,747,67.92500305175781
2025-08-05,85000,747,68.30000305175781
2025-08-06,85000,747,68.12999725341797
2025-08-07,85000,747,68.5
2025-08-08,85000,747,70.04000091552734
2025-08-11,85000,747,69.27999877929688
2025-08-12,85000,747,68.5
2025-08-13,85000,747,68.91000366210938
2025-08-14,85000,747,68.06500244140625
2025-08-15,85000,747,67.80500030517578
2025-08-18,85000,747,68.73999786376953
2025-08-19,85000,747,68.13500213623047
2025-08-20,85000,747,68.55000305175781
2025-08-21,85000,747,69.65499877929688
2025-08-22,85000,747,69.29499816894531
2025-08-26,85000,747,69.73500061035156
2025-08-27,85000,747,69.37000274658203
2025-08-28,85000,747,68.9000015258789
2025-08-29,85000,747,70.03500366210938
2025-09-02,85000,747,70.37000274658203
2025-09-03,85000,747,70.91000366210938
2025-09-04,85000,747,71.61000061035156
2025-09-05,85000,747,72.95999908447266
2025-09-08,85000,747,73.61499786376953
2025-09-09,85000,747,73.53500366210938
2025-09-10,85000,747,74.19999694824219
2025-09-11,85000,747,72.625
2025-09-12,85000,747,72.72000122070312
2025-09-15,85000,747,73.57499694824219
2025-09-16,85000,747,74.23500061035156
2025-09-17,85000,747,73.8949966430664
2025-09-18,85000,747,74.48999786376953
2025-09-19,85000,747,74.5999984741211
2025-09-22,85000,747,73.29499816894531
2025-09-23,85000,747,73.7699966430664
2025-09-24,85000,747,73.0199966430664
2025-09-25,85000,747,72.7750015258789
2025-09-26,85000,747,73.02999877929688
2025-09-29,85000,747,73.8949966430664
2025-09-30,85000,747,72.80999755859375
2025-10-01,85000,747,73.49500274658203
2025-10-02,85000,747,74.44000244140625
2025-10-03,85000,747,76.30500030517578
2025-10-06,85000,747,75.875
2025-10-07,85000,747,75.36499786376953
2025-10-08,85000,747,76.0999984741211
2025-10-09,85000,747,76.23999786376953
2025-10-10,85000,747,76.34500122070312
2025-10-13,85000,747,75.1449966430664
2025-10-14,85000,747,73.99500274658203
2025-10-15,85000,747,75.05999755859375
2025-10-16,85000,747,76.40499877929688
2025-10-17,85000,747,76.38500213623047
2025-10-20,85000,747,76.66000366210938
2025-10-21,85000,747,76.42500305175781
2025-10-22,85000,747,75.48500061035156
2025-10-23,85000,747,75.41500091552734
2025-10-24,85000,747,75.34600067138672
2025-10-27,85000,747,74.8550033569336
2025-10-28,85000,747,75.38500213623047
2025-10-29,85000,747,75.9000015258789
2025-10-30,85000,747,75.74500274658203
2025-10-31,85000,747,75.52999877929688
2025-11-03,85000,747,78.23500061035156
2025-11-04,85000,747,79.16999816894531
2025-11-05,85000,747,78.41500091552734
2025-11-06,85000,747,77.31999969482422
2025-11-07,85000,747,76.62000274658203
2025-11-10,85000,747,76.93499755859375
2025-11-11,85000,747,77.68499755859375
2025-11-12,85000,747,78.87999725341797
2025-11-13,85000,747,78.27999877929688
2025-11-14,85000,747,77.9800033569336
2025-11-17,85000,747,76.86000061035156
2025-11-18,85000,747,78.18000030517578
2025-11-19,85000,747,77.63500213623047
2025-11-20,85000,747,78.25
2025-11-21,85000,747,77.4749984741211
2025-11-24,85000,747,77.58499908447266
2025-11-25,85000,747,78.79499816894531
2025-11-26,85000,747,78.48500061035156
2025-11-28,85000,747,80.07499694824219
2025-12-01,85000,747,79.55999755859375
2025-12-02,85000,747,78.75499725341797
2025-12-03,85000,747,78.76000213623047
2025-12-04,85000,747,79.41999816894531
2025-12-05,85000,747,78.80000305175781
2025-12-08,85000,747,78.98500061035156
2025-12-09,85000,747,79.63999938964844
2025-12-10,85000,747,78.99500274658203
2025-12-11,85000,747,80.7750015258789
2025-12-12,85000,747,80.6500015258789
2025-12-15,85000,747,82.02999877929688
2025-12-16,85000,747,82.1050033569336
2025-12-17,85000,747,81.31999969482422
2025-12-18,85000,747,80.91500091552734
2025-12-19,85000,747,81.77999877929688
2025-12-22,85000,747,82.33499908447266
2025-12-23,85000,747,83.06500244140625
2025-12-24,85000,747,82.80999755859375
2025-12-29,85000,747,82.06999969482422
2025-12-30,85000,747,81.94499969482422
2025-12-31,85000,747,82.02999877929688
2026-01-02,85000,747,83.20500183105469
2026-01-05,85000,747,82.01499938964844
2026-01-06,85000,747,82.77999877929688
2026-01-07,85000,747,82.80999755859375
2026-01-08,85000,747,83.0199966430664
